node,lineage
NODE_0000229,B.1.177.53.3
NODE_0000230,B.1.177
NODE_0000231,B.1.177
NODE_0000232,B.1.177.55
NODE_0000233,B.1.177.54
NODE_0000234,B.1.177.54.1
NODE_0000235,B.1.177
NODE_0000236,B.1.177.5
NODE_0000237,B.1.177
NODE_0000238,B.1.177.60.1
NODE_0000239,B.1.177.8
NODE_0000240,B.1.177.86
NODE_0000241,B.1.177.7
NODE_0000242,B.1.177
NODE_0000243,B.1.177
NODE_0000244,B.1.177
NODE_0000245,B.1.177
NODE_0000246,B.1.177
NODE_0000247,B.1
NODE_0000248,B.1
NODE_0000249,B.1
NODE_0000250,B.1.389
NODE_0000251,B.1.478
NODE_0000252,B.1.563
NODE_0000253,B.1
NODE_0000254,B.1
NODE_0000255,B.1.314
NODE_0000256,B.1.576
NODE_0000257,B.1
NODE_0000258,B.1.305
NODE_0000259,B.1
NODE_0000260,B.1.453
NODE_0000261,B.1.517
NODE_0000262,B.1
NODE_0000263,B.1
NODE_0000264,B.1.568
NODE_0000265,B.1.448
NODE_0000266,B.1.448
NODE_0000267,B.1.298
NODE_0000268,B.1.298
NODE_0000269,B.1.298
NODE_0000270,B.1
NODE_0000271,B.1.320
NODE_0000272,B.1.320
NODE_0000273,B.1
NODE_0000274,B.1
NODE_0000275,B.1.501
NODE_0000276,B.1.509
NODE_0000277,B.1.509
NODE_0000278,B.1
NODE_0000279,B.1.599
NODE_0000280,B.1.311
NODE_0000281,B.1.311
NODE_0000282,B.1.311
NODE_0000283,B.1
NODE_0000284,B.1.603
NODE_0000285,B.1
NODE_0000286,B.1.632
NODE_0000287,B.1.575
NODE_0000288,B.1.575
NODE_0000289,B.1.575
NODE_0000290,B.1.526
NODE_0000291,B.1.526
NODE_0000292,B.1.526
NODE_0000293,B.1.526
NODE_0000294,B.1.526
NODE_0000295,B.1.526
NODE_0000296,B.1
NODE_0000297,B.1
NODE_0000298,B.1
NODE_0000299,B.1.588
NODE_0000300,B.1.595.4
NODE_0000301,B.1
NODE_0000302,B.1
NODE_0000303,B.1
NODE_0000304,B.1
NODE_0000305,B.1.596
NODE_0000306,B.1
NODE_0000307,B.1.2
NODE_0000308,B.1.596
NODE_0000309,B.1.2
NODE_0000310,B.1.2
NODE_0000311,B.1.2
NODE_0000312,B.1.2
NODE_0000313,B.1.2
NODE_0000314,B.1.2
NODE_0000315,B.1.2
NODE_0000316,B.1.2
NODE_0000317,B.1
NODE_0000318,B.1.385
NODE_0000319,B.1
NODE_0000320,B.1.438
NODE_0000321,B.1.438.1
NODE_0000322,B.1.438.1
NODE_0000323,B.1
NODE_0000324,B.1.465
NODE_0000325,B.1.466.1
NODE_0000326,B.1.466.1
NODE_0000327,B.1.36
NODE_0000328,B.1.36.7
NODE_0000329,B.1.36.24
NODE_0000330,B.1.36.29
NODE_0000331,B.1.36
NODE_0000332,B.1.36.31
NODE_0000333,B.1.36
NODE_0000334,B.1.36
NODE_0000335,B.1
NODE_0000336,B.1
NODE_0000337,B.1
NODE_0000338,B.1.160.26
NODE_0000339,B.1
NODE_0000340,B.1.1.445
NODE_0000341,B.1.160.30
NODE_0000342,B.1.160
NODE_0000343,B.1.160.9
NODE_0000344,B.1.160.22
NODE_0000345,B.1.160.22
NODE_0000346,B.1.160.22
NODE_0000347,B.1.160
NODE_0000348,B.1.160.11
NODE_0000349,B.1.160.16
NODE_0000350,B.1.160.16
NODE_0000351,B.1.160.14
NODE_0000352,B.1.160.14
NODE_0000353,B.1.160.14
NODE_0000354,B.1.160.12
NODE_0000355,B.1.160.12
