node,lineage
NODE_0000893,B.1.617.2.20
NODE_0000894,B.1.617.2.20
NODE_0000895,B.1.617.2
NODE_0000896,B.1.617.2
NODE_0000897,B.1.617.2
NODE_0000898,B.1.617.2
NODE_0000899,B.1.617.2
NODE_0000900,B.1.617.2
NODE_0000901,B.1.617.2.32
NODE_0000902,B.1.617.2.32
NODE_0000903,B.1.617.2.32
NODE_0000904,B.1.617.2.39
NODE_0000905,B.1.617.2.39
NODE_0000906,B.1.617.2
NODE_0000907,B.1.617.2
NODE_0000908,B.1.617.2
NODE_0000909,B.1.617.2
NODE_0000910,B.1.617.2
NODE_0000911,B.1.617.2
NODE_0000912,B.1.617.2
NODE_0000913,B.1.617.2
NODE_0000914,B.1.617.2
NODE_0000915,B.1.617.2
NODE_0000916,B.1.617.2
NODE_0000917,B.1.617.2
NODE_0000918,B.1.617.2
NODE_0000919,B.1.617.2
NODE_0000920,B.1.617.2
NODE_0000921,B.1.617.2
NODE_0000922,B.1.617.2
NODE_0000923,B.1.617.2
NODE_0000924,B.1.617.2
NODE_0000925,B.1.617.2
NODE_0000926,B.1.617.2
NODE_0000927,B.1.617.2
NODE_0000928,B.1.617.2
NODE_0000929,B.1.617.2
NODE_0000930,B.1.617.2
NODE_0000931,B.1.617.2
NODE_0000932,B.1.617.2
NODE_0000933,B.1.617.2
NODE_0000934,B.1.617.2
NODE_0000935,B.1.617.2
NODE_0000936,B.1.617.2
NODE_0000937,B.1.617.2.3
NODE_0000938,B.1.617.2.3
NODE_0000939,B.1.617.2.3
NODE_0000940,B.1.617.2.3
NODE_0000941,B.1.617.2.3
NODE_0000942,B.1.617.2.3
NODE_0000943,B.1.617.2.3
NODE_0000944,B.1.617.2.3
NODE_0000945,B.1.617.2.3
NODE_0000946,B.1.617.2.3.1
NODE_0000947,B.1.617.2.3.1
NODE_0000948,B.1.617.2.3.1
NODE_0000949,B.1.617.2.3.1
NODE_0000950,B.1.617.2
NODE_0000951,B.1.617.2
NODE_0000952,B.1.617.2.39
NODE_0000953,B.1.617.2
NODE_0000954,B.1.617.2
NODE_0000955,B.1.617.2.41
NODE_0000956,B.1.617.2
NODE_0000957,B.1.617.2
NODE_0000958,B.1.617.2
NODE_0000959,B.1.617.2
NODE_0000960,B.1.617.2.23
NODE_0000961,B.1.617.2.23
NODE_0000962,B.1.617.2.23
NODE_0000963,B.1.617.2.23
NODE_0000964,B.1.617.2.23
NODE_0000965,B.1.617.2.23
NODE_0000966,B.1.617.2.23
NODE_0000967,B.1.617.2
NODE_0000968,B.1.617.2
NODE_0000969,B.1.617.2
NODE_0000970,B.1.617.2
NODE_0000971,B.1.617.2
NODE_0000972,B.1.617.2
NODE_0000973,B.1.617.2
NODE_0000974,B.1.617.2
NODE_0000975,B.1.617.2
NODE_0000976,B.1.617.2
NODE_0000977,B.1.617.2
NODE_0000978,B.1.617.2
NODE_0000979,B.1.617.2
NODE_0000980,B.1.617.2
NODE_0000981,B.1.617.2
NODE_0000982,B.1.617.2
NODE_0000983,B.1.617.2
NODE_0000984,B.1.617.2
NODE_0000985,B.1.617.2
NODE_0000986,B.1.617.2
NODE_0000987,B.1.617.2
NODE_0000988,B.1.617.2
NODE_0000989,B.1.617.2
NODE_0000990,B.1.617.2
NODE_0000991,B.1.617.2.21
NODE_0000992,B.1.617.2.21
NODE_0000993,B.1.617.2.21
NODE_0000994,B.1.617.2.33
NODE_0000995,B.1.617.2.33
NODE_0000996,B.1.617.2.33
NODE_0000997,B.1.617.2.33
NODE_0000998,B.1.617.2.33
NODE_0000999,B.1.617.2.33
NODE_0001000,B.1.617.2.33
NODE_0001001,B.1.617.2.33
NODE_0001002,B.1.617.2.33
NODE_0001003,B.1.617.2.33
NODE_0001004,B.1.617.2.33
NODE_0001005,B.1.617.2.33
NODE_0001006,B.1.617.2.33
NODE_0001007,B.1.617.2.33
NODE_0001008,B.1.617.2
NODE_0001009,B.1.617.2.1
NODE_0001010,B.1.617.2.1
NODE_0001011,B.1.617.2.1
NODE_0001012,B.1.617.2.1
NODE_0001013,B.1.617.2.1
NODE_0001014,B.1.617.2.1
NODE_0001015,B.1.617.2
NODE_0001016,B.1.617.2
NODE_0001017,B.1.617.2
NODE_0001018,B.1.617.2
NODE_0001019,B.1.617.2
NODE_0001020,B.1.617.2
NODE_0001021,B.1.617.2.7
NODE_0001022,B.1.617.2.7
NODE_0001023,B.1.617.2.7
NODE_0001024,B.1.617.2.7
NODE_0001025,B.1.617.2.7.2
NODE_0001026,B.1.617.2.7.2
NODE_0001027,B.1.617.2
NODE_0001028,B.1.617.2
NODE_0001029,B.1.617.2
NODE_0001030,B.1.617.2
NODE_0001031,B.1.617.2
NODE_0001032,B.1.617.2
NODE_0001033,B.1.617.2
NODE_0001034,B.1.617.2
NODE_0001035,B.1.617.2
NODE_0001036,B.1.617.2
NODE_0001037,B.1.617.2
NODE_0001038,B.1.617.2.6
NODE_0001039,B.1.617.2.6
NODE_0001040,B.1.617.2.6
NODE_0001041,B.1.617.2.6
NODE_0001042,B.1.617.2.6
NODE_0001043,B.1.617.2.6
NODE_0001044,B.1.617.2.6
NODE_0001045,B.1.617.2.6
NODE_0001046,B.1.617.2.6
NODE_0001047,B.1.617.2.6
NODE_0001048,B.1.617.2.25
NODE_0001049,B.1.617.2.25
NODE_0001050,B.1.617.2.25
NODE_0001051,B.1.617.2.25
NODE_0001052,B.1.617.2.25
NODE_0001053,B.1.617.2.25
NODE_0001054,B.1.617.2.25
NODE_0001055,B.1.617.2.25
NODE_0001056,B.1.617.2.25
NODE_0001057,B.1.617.2.25
NODE_0001058,B.1.617.2.25
NODE_0001059,B.1.617.2.25
NODE_0001060,B.1.617.2.25
NODE_0001061,B.1.617.2.25
NODE_0001062,B.1.617.2.25
NODE_0001063,B.1.617.2.25
NODE_0001064,B.1.617.2.25
NODE_0001065,B.1.617.2.25
NODE_0001066,B.1.617.2.25
NODE_0001067,B.1.617.2.25
NODE_0001068,B.1.617.2.25
NODE_0001069,B.1.617.2.25
NODE_0001070,B.1.617.2.4
NODE_0001071,B.1.617.2.4
NODE_0001072,B.1.617.2.4
NODE_0001073,B.1.617.2.4
NODE_0001074,B.1.617.2.4
NODE_0001075,B.1.617.2.4
NODE_0001076,B.1.617.2.4
NODE_0001077,B.1.617.2.4
NODE_0001078,B.1.617.2.4
NODE_0001079,B.1.617.2.4
NODE_0001080,B.1.617.2.4
NODE_0001081,B.1.617.2.4
NODE_0001082,B.1.617.2.4
NODE_0001083,B.1.617.2.4
